state,area_km_total,n_poligonos
PA,56569.34513396559,383969
MT,27198.943199172096,91290
AM,18711.317597290432,88684
RO,16917.209849932646,83837
AC,7508.300748819601,77888
MA,6994.720380964993,58035
RR,4659.503386074557,38761
TO,785.5977932001357,4342
AP,523.073228405473,8469
